2017-01-27 14:44:41 [compare_jaccard] [INFO ]  [** COMPUTING JACCARD INDICES **]
2017-01-27 14:44:44 [compare_jaccard] [INFO ]  [1/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif
2017-01-27 14:45:06 [compare_jaccard] [INFO ]  [14/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/ILP/ilp_bd.tif
2017-01-27 14:45:08 [compare_jaccard] [INFO ]  [15/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd_costs.tif
2017-01-27 14:45:10 [compare_jaccard] [INFO ]  [16/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/zonation/priocomp/14_abf_bd_cst/14_abf_bd_cst_out/14_abf_bd_cst.rank.compressed.tif
2017-01-27 14:45:11 [compare_jaccard] [INFO ]  [17/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights.tif and, [0.0, 0.1] in analyses/ILP/ilp_bd_costs.tif
2017-01-27 14:45:14 [compare_jaccard] [INFO ]  [18/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif
2017-01-27 14:45:16 [compare_jaccard] [INFO ]  [19/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif
2017-01-27 14:45:18 [compare_jaccard] [INFO ]  [20/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif
2017-01-27 14:45:19 [compare_jaccard] [INFO ]  [21/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif
2017-01-27 14:45:21 [compare_jaccard] [INFO ]  [22/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/RWR/rwr_es.tif
2017-01-27 14:45:23 [compare_jaccard] [INFO ]  [23/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/zonation/priocomp/08_abf_es/08_abf_es_out/08_abf_es.rank.compressed.tif
2017-01-27 14:45:24 [compare_jaccard] [INFO ]  [24/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/ILP/ilp_es.tif
2017-01-27 14:45:26 [compare_jaccard] [INFO ]  [25/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/RWR/rwr_es_costs.tif
2017-01-27 14:45:28 [compare_jaccard] [INFO ]  [26/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/zonation/priocomp/10_abf_es_cst/10_abf_es_cst_out/10_abf_es_cst.rank.compressed.tif
2017-01-27 14:45:29 [compare_jaccard] [INFO ]  [27/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/ILP/ilp_es_costs.tif
2017-01-27 14:45:31 [compare_jaccard] [INFO ]  [28/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd.tif
2017-01-27 14:45:33 [compare_jaccard] [INFO ]  [29/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/zonation/priocomp/12_abf_bd/12_abf_bd_out/12_abf_bd.rank.compressed.tif
2017-01-27 14:45:34 [compare_jaccard] [INFO ]  [30/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/ILP/ilp_bd.tif
2017-01-27 14:45:36 [compare_jaccard] [INFO ]  [31/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd_costs.tif
2017-01-27 14:45:38 [compare_jaccard] [INFO ]  [32/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/zonation/priocomp/14_abf_bd_cst/14_abf_bd_cst_out/14_abf_bd_cst.rank.compressed.tif
2017-01-27 14:45:39 [compare_jaccard] [INFO ]  [33/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/04_abf_all_wgt/04_abf_all_wgt_out/04_abf_all_wgt.rank.compressed.tif and, [0.0, 0.1] in analyses/ILP/ilp_bd_costs.tif
2017-01-27 14:45:42 [compare_jaccard] [INFO ]  [34/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif
2017-01-27 14:45:44 [compare_jaccard] [INFO ]  [35/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif
2017-01-27 14:45:46 [compare_jaccard] [INFO ]  [36/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif
2017-01-27 14:45:48 [compare_jaccard] [INFO ]  [37/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/RWR/rwr_es.tif
2017-01-27 14:45:50 [compare_jaccard] [INFO ]  [38/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/zonation/priocomp/08_abf_es/08_abf_es_out/08_abf_es.rank.compressed.tif
2017-01-27 14:45:51 [compare_jaccard] [INFO ]  [39/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/ILP/ilp_es.tif
2017-01-27 14:45:53 [compare_jaccard] [INFO ]  [40/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/RWR/rwr_es_costs.tif
2017-01-27 14:45:55 [compare_jaccard] [INFO ]  [41/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/zonation/priocomp/10_abf_es_cst/10_abf_es_cst_out/10_abf_es_cst.rank.compressed.tif
2017-01-27 14:45:56 [compare_jaccard] [INFO ]  [42/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/ILP/ilp_es_costs.tif
2017-01-27 14:45:58 [compare_jaccard] [INFO ]  [43/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd.tif
2017-01-27 14:46:00 [compare_jaccard] [INFO ]  [44/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/zonation/priocomp/12_abf_bd/12_abf_bd_out/12_abf_bd.rank.compressed.tif
2017-01-27 14:46:02 [compare_jaccard] [INFO ]  [45/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/ILP/ilp_bd.tif
2017-01-27 14:46:03 [compare_jaccard] [INFO ]  [46/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd_costs.tif
2017-01-27 14:46:05 [compare_jaccard] [INFO ]  [47/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/zonation/priocomp/14_abf_bd_cst/14_abf_bd_cst_out/14_abf_bd_cst.rank.compressed.tif
2017-01-27 14:46:07 [compare_jaccard] [INFO ]  [48/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights.tif and, [0.0, 0.1] in analyses/ILP/ilp_bd_costs.tif
2017-01-27 14:46:10 [compare_jaccard] [INFO ]  [49/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif and, [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif
2017-01-27 14:46:11 [compare_jaccard] [INFO ]  [50/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif and, [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif
2017-01-27 14:46:13 [compare_jaccard] [INFO ]  [51/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif and, [0.0, 0.1] in analyses/RWR/rwr_es.tif
2017-01-27 14:46:15 [compare_jaccard] [INFO ]  [52/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif and, [0.0, 0.1] in analyses/zonation/priocomp/08_abf_es/08_abf_es_out/08_abf_es.rank.compressed.tif
2017-01-27 14:46:16 [compare_jaccard] [INFO ]  [53/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif and, [0.0, 0.1] in analyses/ILP/ilp_es.tif
2017-01-27 14:46:18 [compare_jaccard] [INFO ]  [54/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif and, [0.0, 0.1] in analyses/RWR/rwr_es_costs.tif
2017-01-27 14:46:20 [compare_jaccard] [INFO ]  [55/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif and, [0.0, 0.1] in analyses/zonation/priocomp/10_abf_es_cst/10_abf_es_cst_out/10_abf_es_cst.rank.compressed.tif
2017-01-27 14:46:22 [compare_jaccard] [INFO ]  [56/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif and, [0.0, 0.1] in analyses/ILP/ilp_es_costs.tif
2017-01-27 14:46:23 [compare_jaccard] [INFO ]  [57/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd.tif
2017-01-27 14:46:25 [compare_jaccard] [INFO ]  [58/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif and, [0.0, 0.1] in analyses/zonation/priocomp/12_abf_bd/12_abf_bd_out/12_abf_bd.rank.compressed.tif
2017-01-27 14:46:27 [compare_jaccard] [INFO ]  [59/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif and, [0.0, 0.1] in analyses/ILP/ilp_bd.tif
2017-01-27 14:46:28 [compare_jaccard] [INFO ]  [60/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd_costs.tif
2017-01-27 14:46:30 [compare_jaccard] [INFO ]  [61/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif and, [0.0, 0.1] in analyses/zonation/priocomp/14_abf_bd_cst/14_abf_bd_cst_out/14_abf_bd_cst.rank.compressed.tif
2017-01-27 14:46:32 [compare_jaccard] [INFO ]  [62/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_all_weights_costs.tif and, [0.0, 0.1] in analyses/ILP/ilp_bd_costs.tif
2017-01-27 14:46:35 [compare_jaccard] [INFO ]  [63/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif and, [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif
2017-01-27 14:46:36 [compare_jaccard] [INFO ]  [64/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif and, [0.0, 0.1] in analyses/RWR/rwr_es.tif
2017-01-27 14:46:38 [compare_jaccard] [INFO ]  [65/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif and, [0.0, 0.1] in analyses/zonation/priocomp/08_abf_es/08_abf_es_out/08_abf_es.rank.compressed.tif
2017-01-27 14:46:40 [compare_jaccard] [INFO ]  [66/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif and, [0.0, 0.1] in analyses/ILP/ilp_es.tif
2017-01-27 14:46:42 [compare_jaccard] [INFO ]  [67/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif and, [0.0, 0.1] in analyses/RWR/rwr_es_costs.tif
2017-01-27 14:46:43 [compare_jaccard] [INFO ]  [68/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif and, [0.0, 0.1] in analyses/zonation/priocomp/10_abf_es_cst/10_abf_es_cst_out/10_abf_es_cst.rank.compressed.tif
2017-01-27 14:46:45 [compare_jaccard] [INFO ]  [69/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif and, [0.0, 0.1] in analyses/ILP/ilp_es_costs.tif
2017-01-27 14:46:47 [compare_jaccard] [INFO ]  [70/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd.tif
2017-01-27 14:46:49 [compare_jaccard] [INFO ]  [71/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif and, [0.0, 0.1] in analyses/zonation/priocomp/12_abf_bd/12_abf_bd_out/12_abf_bd.rank.compressed.tif
2017-01-27 14:46:51 [compare_jaccard] [INFO ]  [72/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif and, [0.0, 0.1] in analyses/ILP/ilp_bd.tif
2017-01-27 14:46:53 [compare_jaccard] [INFO ]  [73/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd_costs.tif
2017-01-27 14:46:55 [compare_jaccard] [INFO ]  [74/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif and, [0.0, 0.1] in analyses/zonation/priocomp/14_abf_bd_cst/14_abf_bd_cst_out/14_abf_bd_cst.rank.compressed.tif
2017-01-27 14:46:57 [compare_jaccard] [INFO ]  [75/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/06_abf_all_wgt_cst/06_abf_all_wgt_cst_out/06_abf_all_wgt_cst.rank.compressed.tif and, [0.0, 0.1] in analyses/ILP/ilp_bd_costs.tif
2017-01-27 14:47:00 [compare_jaccard] [INFO ]  [76/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif and, [0.0, 0.1] in analyses/RWR/rwr_es.tif
2017-01-27 14:47:01 [compare_jaccard] [INFO ]  [77/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif and, [0.0, 0.1] in analyses/zonation/priocomp/08_abf_es/08_abf_es_out/08_abf_es.rank.compressed.tif
2017-01-27 14:47:03 [compare_jaccard] [INFO ]  [78/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif and, [0.0, 0.1] in analyses/ILP/ilp_es.tif
2017-01-27 14:47:05 [compare_jaccard] [INFO ]  [79/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif and, [0.0, 0.1] in analyses/RWR/rwr_es_costs.tif
2017-01-27 14:47:07 [compare_jaccard] [INFO ]  [80/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif and, [0.0, 0.1] in analyses/zonation/priocomp/10_abf_es_cst/10_abf_es_cst_out/10_abf_es_cst.rank.compressed.tif
2017-01-27 14:47:08 [compare_jaccard] [INFO ]  [81/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif and, [0.0, 0.1] in analyses/ILP/ilp_es_costs.tif
2017-01-27 14:47:10 [compare_jaccard] [INFO ]  [82/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd.tif
2017-01-27 14:47:12 [compare_jaccard] [INFO ]  [83/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif and, [0.0, 0.1] in analyses/zonation/priocomp/12_abf_bd/12_abf_bd_out/12_abf_bd.rank.compressed.tif
2017-01-27 14:47:14 [compare_jaccard] [INFO ]  [84/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif and, [0.0, 0.1] in analyses/ILP/ilp_bd.tif
2017-01-27 14:47:16 [compare_jaccard] [INFO ]  [85/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd_costs.tif
2017-01-27 14:47:17 [compare_jaccard] [INFO ]  [86/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif and, [0.0, 0.1] in analyses/zonation/priocomp/14_abf_bd_cst/14_abf_bd_cst_out/14_abf_bd_cst.rank.compressed.tif
2017-01-27 14:47:19 [compare_jaccard] [INFO ]  [87/306] Calculating Jaccard index for [0.0, 0.1] in analyses/ILP/ilp_all_weights_costs.tif and, [0.0, 0.1] in analyses/ILP/ilp_bd_costs.tif
2017-01-27 14:47:23 [compare_jaccard] [INFO ]  [88/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_es.tif and, [0.0, 0.1] in analyses/zonation/priocomp/08_abf_es/08_abf_es_out/08_abf_es.rank.compressed.tif
2017-01-27 14:47:25 [compare_jaccard] [INFO ]  [89/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_es.tif and, [0.0, 0.1] in analyses/ILP/ilp_es.tif
2017-01-27 14:47:26 [compare_jaccard] [INFO ]  [90/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_es.tif and, [0.0, 0.1] in analyses/RWR/rwr_es_costs.tif
2017-01-27 14:47:28 [compare_jaccard] [INFO ]  [91/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_es.tif and, [0.0, 0.1] in analyses/zonation/priocomp/10_abf_es_cst/10_abf_es_cst_out/10_abf_es_cst.rank.compressed.tif
2017-01-27 14:47:30 [compare_jaccard] [INFO ]  [92/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_es.tif and, [0.0, 0.1] in analyses/ILP/ilp_es_costs.tif
2017-01-27 14:47:32 [compare_jaccard] [INFO ]  [93/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_es.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd.tif
2017-01-27 14:47:33 [compare_jaccard] [INFO ]  [94/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_es.tif and, [0.0, 0.1] in analyses/zonation/priocomp/12_abf_bd/12_abf_bd_out/12_abf_bd.rank.compressed.tif
2017-01-27 14:47:35 [compare_jaccard] [INFO ]  [95/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_es.tif and, [0.0, 0.1] in analyses/ILP/ilp_bd.tif
2017-01-27 14:47:37 [compare_jaccard] [INFO ]  [96/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_es.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd_costs.tif
2017-01-27 14:47:39 [compare_jaccard] [INFO ]  [97/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_es.tif and, [0.0, 0.1] in analyses/zonation/priocomp/14_abf_bd_cst/14_abf_bd_cst_out/14_abf_bd_cst.rank.compressed.tif
2017-01-27 14:47:41 [compare_jaccard] [INFO ]  [98/306] Calculating Jaccard index for [0.0, 0.1] in analyses/RWR/rwr_es.tif and, [0.0, 0.1] in analyses/ILP/ilp_bd_costs.tif
2017-01-27 14:47:44 [compare_jaccard] [INFO ]  [99/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/08_abf_es/08_abf_es_out/08_abf_es.rank.compressed.tif and, [0.0, 0.1] in analyses/ILP/ilp_es.tif
2017-01-27 14:47:45 [compare_jaccard] [INFO ]  [100/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/08_abf_es/08_abf_es_out/08_abf_es.rank.compressed.tif and, [0.0, 0.1] in analyses/RWR/rwr_es_costs.tif
2017-01-27 14:47:47 [compare_jaccard] [INFO ]  [101/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/08_abf_es/08_abf_es_out/08_abf_es.rank.compressed.tif and, [0.0, 0.1] in analyses/zonation/priocomp/10_abf_es_cst/10_abf_es_cst_out/10_abf_es_cst.rank.compressed.tif
2017-01-27 14:47:49 [compare_jaccard] [INFO ]  [102/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/08_abf_es/08_abf_es_out/08_abf_es.rank.compressed.tif and, [0.0, 0.1] in analyses/ILP/ilp_es_costs.tif
2017-01-27 14:47:50 [compare_jaccard] [INFO ]  [103/306] Calculating Jaccard index for [0.0, 0.1] in analyses/zonation/priocomp/08_abf_es/08_abf_es_out/08_abf_es.rank.compressed.tif and, [0.0, 0.1] in analyses/RWR/rwr_bd.tif
