2016-11-04 19:01:13 [clip_udr_data] [INFO ]  [1/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/alytes_cisternasii.tif
2016-11-04 19:01:45 [clip_udr_data] [INFO ]  [7/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/bombina_pachypus.tif
2016-11-04 19:01:45 [clip_udr_data] [DEBUG]  [7/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/bombina_pachypus.tif
2016-11-04 19:01:50 [clip_udr_data] [DEBUG]  [7/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:01:50 [clip_udr_data] [DEBUG]  [7/763] Processing input file data/external/udr/european_tetrapods/amphibians/bombina_pachypus.tif.
2016-11-04 19:01:50 [clip_udr_data] [DEBUG]  [7/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/bombina_pachypus.tif.
2016-11-04 19:01:50 [clip_udr_data] [DEBUG]  [7/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/bombina_pachypus.tif to destination data/processed/features/udr/european_tetrapods/amphibians/bombina_pachypus.tif.
2016-11-04 19:01:50 [clip_udr_data] [DEBUG]  [7/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:01:50 [clip_udr_data] [INFO ]  [8/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/bombina_variegata.tif
2016-11-04 19:01:50 [clip_udr_data] [DEBUG]  [8/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/bombina_variegata.tif
2016-11-04 19:01:55 [clip_udr_data] [DEBUG]  [8/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:01:55 [clip_udr_data] [DEBUG]  [8/763] Processing input file data/external/udr/european_tetrapods/amphibians/bombina_variegata.tif.
2016-11-04 19:01:55 [clip_udr_data] [DEBUG]  [8/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/bombina_variegata.tif.
2016-11-04 19:01:55 [clip_udr_data] [DEBUG]  [8/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/bombina_variegata.tif to destination data/processed/features/udr/european_tetrapods/amphibians/bombina_variegata.tif.
2016-11-04 19:01:55 [clip_udr_data] [DEBUG]  [8/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:01:55 [clip_udr_data] [INFO ]  [9/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/bufo_bufo.tif
2016-11-04 19:01:55 [clip_udr_data] [DEBUG]  [9/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/bufo_bufo.tif
2016-11-04 19:02:01 [clip_udr_data] [DEBUG]  [9/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:02:01 [clip_udr_data] [DEBUG]  [9/763] Processing input file data/external/udr/european_tetrapods/amphibians/bufo_bufo.tif.
2016-11-04 19:02:01 [clip_udr_data] [DEBUG]  [9/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/bufo_bufo.tif.
2016-11-04 19:02:01 [clip_udr_data] [DEBUG]  [9/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/bufo_bufo.tif to destination data/processed/features/udr/european_tetrapods/amphibians/bufo_bufo.tif.
2016-11-04 19:02:01 [clip_udr_data] [DEBUG]  [9/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:02:01 [clip_udr_data] [INFO ]  [10/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/calotriton_arnoldi.tif
2016-11-04 19:02:01 [clip_udr_data] [DEBUG]  [10/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/calotriton_arnoldi.tif
2016-11-04 19:02:07 [clip_udr_data] [DEBUG]  [10/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:02:07 [clip_udr_data] [DEBUG]  [10/763] Processing input file data/external/udr/european_tetrapods/amphibians/calotriton_arnoldi.tif.
2016-11-04 19:02:07 [clip_udr_data] [DEBUG]  [10/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/calotriton_arnoldi.tif.
2016-11-04 19:02:07 [clip_udr_data] [DEBUG]  [10/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/calotriton_arnoldi.tif to destination data/processed/features/udr/european_tetrapods/amphibians/calotriton_arnoldi.tif.
2016-11-04 19:02:07 [clip_udr_data] [DEBUG]  [10/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:02:07 [clip_udr_data] [INFO ]  [11/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/calotriton_asper.tif
2016-11-04 19:02:07 [clip_udr_data] [DEBUG]  [11/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/calotriton_asper.tif
2016-11-04 19:02:12 [clip_udr_data] [DEBUG]  [11/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:02:12 [clip_udr_data] [DEBUG]  [11/763] Processing input file data/external/udr/european_tetrapods/amphibians/calotriton_asper.tif.
2016-11-04 19:02:12 [clip_udr_data] [DEBUG]  [11/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/calotriton_asper.tif.
2016-11-04 19:02:12 [clip_udr_data] [DEBUG]  [11/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/calotriton_asper.tif to destination data/processed/features/udr/european_tetrapods/amphibians/calotriton_asper.tif.
2016-11-04 19:02:12 [clip_udr_data] [DEBUG]  [11/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:02:12 [clip_udr_data] [INFO ]  [12/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/chioglossa_lusitanica.tif
2016-11-04 19:02:12 [clip_udr_data] [DEBUG]  [12/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/chioglossa_lusitanica.tif
2016-11-04 19:02:18 [clip_udr_data] [DEBUG]  [12/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:02:18 [clip_udr_data] [DEBUG]  [12/763] Processing input file data/external/udr/european_tetrapods/amphibians/chioglossa_lusitanica.tif.
2016-11-04 19:02:18 [clip_udr_data] [DEBUG]  [12/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/chioglossa_lusitanica.tif.
2016-11-04 19:02:18 [clip_udr_data] [DEBUG]  [12/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/chioglossa_lusitanica.tif to destination data/processed/features/udr/european_tetrapods/amphibians/chioglossa_lusitanica.tif.
2016-11-04 19:02:18 [clip_udr_data] [DEBUG]  [12/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:02:18 [clip_udr_data] [INFO ]  [13/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/discoglossus_galganoi.tif
2016-11-04 19:02:18 [clip_udr_data] [DEBUG]  [13/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/discoglossus_galganoi.tif
2016-11-04 19:02:23 [clip_udr_data] [DEBUG]  [13/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:02:23 [clip_udr_data] [DEBUG]  [13/763] Processing input file data/external/udr/european_tetrapods/amphibians/discoglossus_galganoi.tif.
2016-11-04 19:02:23 [clip_udr_data] [DEBUG]  [13/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/discoglossus_galganoi.tif.
2016-11-04 19:02:23 [clip_udr_data] [DEBUG]  [13/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/discoglossus_galganoi.tif to destination data/processed/features/udr/european_tetrapods/amphibians/discoglossus_galganoi.tif.
2016-11-04 19:02:23 [clip_udr_data] [DEBUG]  [13/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:02:23 [clip_udr_data] [INFO ]  [14/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/discoglossus_jeanneae.tif
2016-11-04 19:02:23 [clip_udr_data] [DEBUG]  [14/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/discoglossus_jeanneae.tif
2016-11-04 19:02:29 [clip_udr_data] [DEBUG]  [14/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:02:29 [clip_udr_data] [DEBUG]  [14/763] Processing input file data/external/udr/european_tetrapods/amphibians/discoglossus_jeanneae.tif.
2016-11-04 19:02:29 [clip_udr_data] [DEBUG]  [14/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/discoglossus_jeanneae.tif.
2016-11-04 19:02:29 [clip_udr_data] [DEBUG]  [14/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/discoglossus_jeanneae.tif to destination data/processed/features/udr/european_tetrapods/amphibians/discoglossus_jeanneae.tif.
2016-11-04 19:02:29 [clip_udr_data] [DEBUG]  [14/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:02:29 [clip_udr_data] [INFO ]  [15/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/discoglossus_montalentii.tif
2016-11-04 19:02:29 [clip_udr_data] [DEBUG]  [15/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/discoglossus_montalentii.tif
2016-11-04 19:02:34 [clip_udr_data] [DEBUG]  [15/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:02:34 [clip_udr_data] [DEBUG]  [15/763] Processing input file data/external/udr/european_tetrapods/amphibians/discoglossus_montalentii.tif.
2016-11-04 19:02:34 [clip_udr_data] [DEBUG]  [15/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/discoglossus_montalentii.tif.
2016-11-04 19:02:34 [clip_udr_data] [DEBUG]  [15/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/discoglossus_montalentii.tif to destination data/processed/features/udr/european_tetrapods/amphibians/discoglossus_montalentii.tif.
2016-11-04 19:02:34 [clip_udr_data] [DEBUG]  [15/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:02:34 [clip_udr_data] [INFO ]  [16/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/discoglossus_pictus.tif
2016-11-04 19:02:34 [clip_udr_data] [DEBUG]  [16/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/discoglossus_pictus.tif
2016-11-04 19:02:40 [clip_udr_data] [DEBUG]  [16/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:02:40 [clip_udr_data] [DEBUG]  [16/763] Processing input file data/external/udr/european_tetrapods/amphibians/discoglossus_pictus.tif.
2016-11-04 19:02:40 [clip_udr_data] [DEBUG]  [16/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/discoglossus_pictus.tif.
2016-11-04 19:02:40 [clip_udr_data] [DEBUG]  [16/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/discoglossus_pictus.tif to destination data/processed/features/udr/european_tetrapods/amphibians/discoglossus_pictus.tif.
2016-11-04 19:02:40 [clip_udr_data] [DEBUG]  [16/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:02:40 [clip_udr_data] [INFO ]  [17/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/discoglossus_sardus.tif
2016-11-04 19:02:40 [clip_udr_data] [DEBUG]  [17/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/discoglossus_sardus.tif
2016-11-04 19:02:44 [clip_udr_data] [DEBUG]  [17/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:02:44 [clip_udr_data] [DEBUG]  [17/763] Processing input file data/external/udr/european_tetrapods/amphibians/discoglossus_sardus.tif.
2016-11-04 19:02:44 [clip_udr_data] [DEBUG]  [17/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/discoglossus_sardus.tif.
2016-11-04 19:02:44 [clip_udr_data] [DEBUG]  [17/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/discoglossus_sardus.tif to destination data/processed/features/udr/european_tetrapods/amphibians/discoglossus_sardus.tif.
2016-11-04 19:02:44 [clip_udr_data] [DEBUG]  [17/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:02:44 [clip_udr_data] [INFO ]  [18/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/epidalea_calamita.tif
2016-11-04 19:02:44 [clip_udr_data] [DEBUG]  [18/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/epidalea_calamita.tif
2016-11-04 19:02:50 [clip_udr_data] [DEBUG]  [18/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:02:50 [clip_udr_data] [DEBUG]  [18/763] Processing input file data/external/udr/european_tetrapods/amphibians/epidalea_calamita.tif.
2016-11-04 19:02:50 [clip_udr_data] [DEBUG]  [18/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/epidalea_calamita.tif.
2016-11-04 19:02:50 [clip_udr_data] [DEBUG]  [18/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/epidalea_calamita.tif to destination data/processed/features/udr/european_tetrapods/amphibians/epidalea_calamita.tif.
2016-11-04 19:02:50 [clip_udr_data] [DEBUG]  [18/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:02:50 [clip_udr_data] [INFO ]  [19/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/euproctus_montanus.tif
2016-11-04 19:02:50 [clip_udr_data] [DEBUG]  [19/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/euproctus_montanus.tif
2016-11-04 19:02:55 [clip_udr_data] [DEBUG]  [19/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:02:55 [clip_udr_data] [DEBUG]  [19/763] Processing input file data/external/udr/european_tetrapods/amphibians/euproctus_montanus.tif.
2016-11-04 19:02:55 [clip_udr_data] [DEBUG]  [19/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/euproctus_montanus.tif.
2016-11-04 19:02:55 [clip_udr_data] [DEBUG]  [19/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/euproctus_montanus.tif to destination data/processed/features/udr/european_tetrapods/amphibians/euproctus_montanus.tif.
2016-11-04 19:02:55 [clip_udr_data] [DEBUG]  [19/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:02:55 [clip_udr_data] [INFO ]  [20/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/euproctus_platycephalus.tif
2016-11-04 19:02:55 [clip_udr_data] [DEBUG]  [20/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/euproctus_platycephalus.tif
2016-11-04 19:03:00 [clip_udr_data] [DEBUG]  [20/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:03:00 [clip_udr_data] [DEBUG]  [20/763] Processing input file data/external/udr/european_tetrapods/amphibians/euproctus_platycephalus.tif.
2016-11-04 19:03:00 [clip_udr_data] [DEBUG]  [20/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/euproctus_platycephalus.tif.
2016-11-04 19:03:00 [clip_udr_data] [DEBUG]  [20/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/euproctus_platycephalus.tif to destination data/processed/features/udr/european_tetrapods/amphibians/euproctus_platycephalus.tif.
2016-11-04 19:03:00 [clip_udr_data] [DEBUG]  [20/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:03:00 [clip_udr_data] [INFO ]  [21/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/hyla_arborea.tif
2016-11-04 19:03:00 [clip_udr_data] [DEBUG]  [21/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/hyla_arborea.tif
2016-11-04 19:03:05 [clip_udr_data] [DEBUG]  [21/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:03:05 [clip_udr_data] [DEBUG]  [21/763] Processing input file data/external/udr/european_tetrapods/amphibians/hyla_arborea.tif.
2016-11-04 19:03:05 [clip_udr_data] [DEBUG]  [21/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/hyla_arborea.tif.
2016-11-04 19:03:05 [clip_udr_data] [DEBUG]  [21/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/hyla_arborea.tif to destination data/processed/features/udr/european_tetrapods/amphibians/hyla_arborea.tif.
2016-11-04 19:03:05 [clip_udr_data] [DEBUG]  [21/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:03:05 [clip_udr_data] [INFO ]  [22/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/hyla_intermedia.tif
2016-11-04 19:03:05 [clip_udr_data] [DEBUG]  [22/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/hyla_intermedia.tif
2016-11-04 19:03:11 [clip_udr_data] [DEBUG]  [22/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:03:11 [clip_udr_data] [DEBUG]  [22/763] Processing input file data/external/udr/european_tetrapods/amphibians/hyla_intermedia.tif.
2016-11-04 19:03:11 [clip_udr_data] [DEBUG]  [22/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/hyla_intermedia.tif.
2016-11-04 19:03:11 [clip_udr_data] [DEBUG]  [22/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/hyla_intermedia.tif to destination data/processed/features/udr/european_tetrapods/amphibians/hyla_intermedia.tif.
2016-11-04 19:03:11 [clip_udr_data] [DEBUG]  [22/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:03:11 [clip_udr_data] [INFO ]  [23/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/hyla_meridionalis.tif
2016-11-04 19:03:11 [clip_udr_data] [DEBUG]  [23/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/hyla_meridionalis.tif
2016-11-04 19:03:16 [clip_udr_data] [DEBUG]  [23/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:03:16 [clip_udr_data] [DEBUG]  [23/763] Processing input file data/external/udr/european_tetrapods/amphibians/hyla_meridionalis.tif.
2016-11-04 19:03:16 [clip_udr_data] [DEBUG]  [23/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/hyla_meridionalis.tif.
2016-11-04 19:03:16 [clip_udr_data] [DEBUG]  [23/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/hyla_meridionalis.tif to destination data/processed/features/udr/european_tetrapods/amphibians/hyla_meridionalis.tif.
2016-11-04 19:03:16 [clip_udr_data] [DEBUG]  [23/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:03:16 [clip_udr_data] [INFO ]  [24/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/hyla_sarda.tif
2016-11-04 19:03:16 [clip_udr_data] [DEBUG]  [24/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/hyla_sarda.tif
2016-11-04 19:03:21 [clip_udr_data] [DEBUG]  [24/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:03:21 [clip_udr_data] [DEBUG]  [24/763] Processing input file data/external/udr/european_tetrapods/amphibians/hyla_sarda.tif.
2016-11-04 19:03:21 [clip_udr_data] [DEBUG]  [24/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/hyla_sarda.tif.
2016-11-04 19:03:21 [clip_udr_data] [DEBUG]  [24/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/hyla_sarda.tif to destination data/processed/features/udr/european_tetrapods/amphibians/hyla_sarda.tif.
2016-11-04 19:03:21 [clip_udr_data] [DEBUG]  [24/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:03:21 [clip_udr_data] [INFO ]  [25/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/lissotriton_boscai.tif
2016-11-04 19:03:21 [clip_udr_data] [DEBUG]  [25/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/lissotriton_boscai.tif
2016-11-04 19:03:26 [clip_udr_data] [DEBUG]  [25/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:03:26 [clip_udr_data] [DEBUG]  [25/763] Processing input file data/external/udr/european_tetrapods/amphibians/lissotriton_boscai.tif.
2016-11-04 19:03:26 [clip_udr_data] [DEBUG]  [25/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/lissotriton_boscai.tif.
2016-11-04 19:03:26 [clip_udr_data] [DEBUG]  [25/763] Copying nodata values from source data/external/udr/european_tetrapods/amphibians/lissotriton_boscai.tif to destination data/processed/features/udr/european_tetrapods/amphibians/lissotriton_boscai.tif.
2016-11-04 19:03:26 [clip_udr_data] [DEBUG]  [25/763] 0...10...20...30...40...50...60...70...80...90...100 - done.
2016-11-04 19:03:26 [clip_udr_data] [INFO ]  [26/763] Clipping dataset data/external/udr/european_tetrapods/amphibians/lissotriton_helveticus.tif
2016-11-04 19:03:26 [clip_udr_data] [DEBUG]  [26/763] Target dataset data/processed/features/udr/european_tetrapods/amphibians/lissotriton_helveticus.tif
2016-11-04 19:03:30 [clip_udr_data] [DEBUG]  [26/763] Creating output file that is 4526P x 4410L.
2016-11-04 19:03:30 [clip_udr_data] [DEBUG]  [26/763] Processing input file data/external/udr/european_tetrapods/amphibians/lissotriton_helveticus.tif.
2016-11-04 19:03:30 [clip_udr_data] [DEBUG]  [26/763] Using internal nodata values (e.g. 255) for image data/external/udr/european_tetrapods/amphibians/lissotriton_helveticus.tif.
